127.0.0.1 - - [24/Feb/2020:14:45:01 -0500] GET /throttle/data/v1/keyTemplates HTTP/1.1 200 12 - - 2.741
127.0.0.1 - - [24/Feb/2020:14:45:01 -0500] GET /throttle/data/v1/revokedjwt HTTP/1.1 200 12 - - 2.743
127.0.0.1 - - [24/Feb/2020:14:45:01 -0500] GET /throttle/data/v1/block HTTP/1.1 200 68 - - 2.746
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:14 -0500] GET /carbon HTTP/1.1 302 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.060
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/js/jquery.cookie.js HTTP/1.1 200 1529 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.056
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/js/jquery.ui.tabs.min.js HTTP/1.1 200 3594 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.027
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/js/jquery.ui.core.min.js HTTP/1.1 200 1996 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.099
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/js/cookies.js HTTP/1.1 200 1136 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.053
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/dialog/js/dialog.js HTTP/1.1 200 2644 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/js/main.js HTTP/1.1 200 15412 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.083
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/js/customControls.js HTTP/1.1 200 1193 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.007
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/yui/build/yahoo-dom-event/yahoo-dom-event.js HTTP/1.1 200 10684 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.037
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/js/WSRequest.js HTTP/1.1 200 12981 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.119
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/yui/build/yahoo/yahoo-min.js HTTP/1.1 200 2523 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.032
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/js/template.js HTTP/1.1 200 3501 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.050
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/js/csrfPrevention.js HTTP/1.1 200 4370 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.290
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] POST /carbon/admin/js/csrfPrevention.js HTTP/1.1 200 52 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.004
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/yui/build/selector/selector-min.js HTTP/1.1 200 2895 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.099
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/yui/build/animation/animation-min.js HTTP/1.1 200 4768 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.143
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/images/up-arrow.gif HTTP/1.1 200 615 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.094
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/images/1px.gif HTTP/1.1 200 43 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.088
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/images/user-guide.gif HTTP/1.1 200 2228 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.008
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/images/forum.gif HTTP/1.1 200 1977 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.005
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/images/issue-tracker.gif HTTP/1.1 200 1821 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.003
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:24 -0500] GET /carbon/admin/images/mailing-list.gif HTTP/1.1 200 2131 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.005
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:25 -0500] GET /carbon/styles/images/api-header-region-bg.png HTTP/1.1 200 255 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:25 -0500] GET /carbon/admin/images/help.gif HTTP/1.1 200 411 https://localhost:9443/carbon/admin/css/global.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.129
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:25 -0500] GET /carbon/styles/images/api-server-menu-panel-bg.png HTTP/1.1 200 218 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.137
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:25 -0500] GET /carbon/styles/images/api-server-menu-header.gif HTTP/1.1 200 176 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.133
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:25 -0500] GET /carbon/styles/images/api-header-back.png HTTP/1.1 200 22845 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.144
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:25 -0500] GET /carbon/styles/images/api-logo.png HTTP/1.1 200 4077 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.145
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:25 -0500] GET /carbon/admin/images/menu_header.gif HTTP/1.1 404 823 https://localhost:9443/carbon/styles/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.137
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:25 -0500] GET /carbon/admin/images/favicon.ico HTTP/1.1 200 17542 https://localhost:9443/carbon/admin/login.jsp Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.008
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:56 -0500] GET /publisher HTTP/1.1 302 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.000
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:58 -0500] GET /publisher/ HTTP/1.1 200 1863 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 1.022
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:58 -0500] GET /publisher/site/public/theme/defaultTheme.js HTTP/1.1 200 1666 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.004
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:58 -0500] GET /publisher/site/public/css/main.css HTTP/1.1 200 1119 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.074
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:58 -0500] GET /publisher/site/public/fonts/iconfont/material-icons.css HTTP/1.1 200 970 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.053
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:58 -0500] GET /publisher/site/public/css/draftjs.css HTTP/1.1 200 2643 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.101
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:58 -0500] GET /publisher/site/public/fonts/iconfont/MaterialIcons.js HTTP/1.1 200 6703 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.207
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:45:59 -0500] GET /publisher/site/public/dist/index.bundle.js HTTP/1.1 200 1251729 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 1.625
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:00 -0500] GET /publisher/site/public/locales/es.json HTTP/1.1 404 - https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.005
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:05 -0500] GET /api/am/publisher/v1.0/swagger.yaml HTTP/1.1 200 394752 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 5.242
127.0.0.1 - - [24/Feb/2020:14:46:06 -0500] GET /api/am/publisher/v1.0/settings HTTP/1.1 200 726 - Jakarta Commons-HttpClient/3.1 4.620
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:07 -0500] GET /publisher/services/auth/login HTTP/1.1 302 - https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 6.529
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:09 -0500] GET /api/am/publisher/v1.0/settings HTTP/1.1 200 726 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.699
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:10 -0500] GET /oauth2/authorize?response_type=code&client_id=9s4I5cIx9bv9VxHogQbG3ij8Pe0a&scope=apim:api_create%20apim:api_delete%20apim:api_publish%20apim:api_view%20apim:client_certificates_add%20apim:client_certificates_update%20apim:client_certificates_view%20apim:document_create%20apim:document_manage%20apim:ep_certificates_add%20apim:ep_certificates_update%20apim:ep_certificates_view%20apim:external_services_discover%20apim:mediation_policy_create%20apim:mediation_policy_manage%20apim:mediation_policy_view%20apim:pub_alert_manage%20apim:publisher_settings%20apim:subscription_block%20apim:subscription_view%20apim:threat_protection_policy_create%20apim:threat_protection_policy_manage%20openid&state=/&redirect_uri=https://localhost:9443/publisher/services/auth/callback/login HTTP/1.1 302 - https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 3.076
127.0.0.1 - - [24/Feb/2020:14:46:12 -0500] POST /oauth2/token HTTP/1.1 200 1630 - Jakarta Commons-HttpClient/3.1 1.568
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:12 -0500] GET /publisher/services/auth/callback/login?code=727fedda-a256-3851-a852-d9101e737a23&state=%2F&session_state=69fa7d8192ef429ea7613715efb09b365537f37fd38d7094838d4f5a08bfe15e.6RMtJzy7HtaPpJhXkknMNQ HTTP/1.1 302 - https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 1.770
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:12 -0500] GET /publisher/apis HTTP/1.1 200 1863 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:12 -0500] GET /publisher/site/public/fonts/iconfont/material-icons.css HTTP/1.1 200 970 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:12 -0500] GET /publisher/site/public/locales/es.json HTTP/1.1 404 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.007
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:12 -0500] GET /publisher/site/public/images/_favicon.ico HTTP/1.1 200 1150 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.036
127.0.0.1 - - [24/Feb/2020:14:46:13 -0500] GET /oauth2/userinfo HTTP/1.1 200 15 - Jakarta Commons-HttpClient/3.1 0.339
127.0.0.1 - - [24/Feb/2020:14:46:13 -0500] POST /oauth2/introspect HTTP/1.1 200 707 - Jakarta Commons-HttpClient/3.1 0.639
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:13 -0500] GET /publisher/services/auth/introspect HTTP/1.1 200 730 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 1.261
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:13 -0500] GET /api/am/publisher/v1.0/swagger.yaml HTTP/1.1 200 394752 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.034
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:16 -0500] GET /api/am/publisher/v1.0/settings HTTP/1.1 200 1011 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 1.248
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:16 -0500] GET /publisher/site/public/images/logo.svg HTTP/1.1 200 18050 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.086
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:16 -0500] GET /publisher/site/public/fonts/Open_Sans/mem8YaGs126MiZpBA-UFVZ0bf8pkAg.woff2 HTTP/1.1 200 8892 https://localhost:9443/publisher/site/public/css/main.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.161
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:17 -0500] GET /publisher/site/public/fonts/iconfont/MaterialIcons-Regular.woff2 HTTP/1.1 200 60840 https://localhost:9443/publisher/site/public/fonts/iconfont/material-icons.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.277
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:18 -0500] GET /api/am/publisher/v1.0/apis?limit=10&offset=0 HTTP/1.1 200 892 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 1.847
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:18 -0500] GET /api/am/publisher/v1.0/apis/2a3811af-0ada-4c74-ac63-c65d42cf82ca/thumbnail HTTP/1.1 204 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.067
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:18 -0500] GET /api/am/publisher/v1.0/apis/bacd087f-16bd-439b-ab64-d3077a078910/thumbnail HTTP/1.1 204 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.060
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:46:18 -0500] GET /api/am/publisher/v1.0/apis/cc689bc4-e79b-4af0-b018-3e5e86fb743a/thumbnail HTTP/1.1 204 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.081
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:52:57 -0500] GET /publisher HTTP/1.1 302 - - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.000
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:52:57 -0500] GET /publisher/ HTTP/1.1 200 1863 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.198
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:52:57 -0500] GET /publisher/site/public/css/main.css HTTP/1.1 200 1119 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.043
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:52:57 -0500] GET /publisher/site/public/css/draftjs.css HTTP/1.1 200 2643 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.022
0:0:0:0:0:0:0:1 - - [24/Feb/2020:14:52:57 -0500] GET /publisher/site/public/fonts/iconfont/MaterialIcons.js HTTP/1.1 200 6703 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.022
